Region,Product,UnitOfMeasure,UnitPrice,Category,Notes,SKU_ID,Price
us-west4,Spot Preemptible N2D AMD Instance Core running in Las Vegas,hour,0.00903,CPU,0.00903 USD per 1 hour,skus/0586-DB99-41A8,0.00858
us-west2,Spot Preemptible N2D AMD Instance Core running in Los Angeles,hour,0.00882,CPU,0.00882 USD per 1 hour,skus/B07E-8B43-5335,0.00926
us-west3,Spot Preemptible N2D AMD Instance Core running in Salt Lake City,hour,0.00764,CPU,0.00764 USD per 1 hour,skus/93A5-5568-F3ED,0.00764
asia-southeast1,Spot Preemptible N2D AMD Instance Core running in Singapore,hour,0.00836,CPU,,skus/48EB-F1F3-223B,0.00604
us-west4,Spot Preemptible N2D AMD Instance Ram running in Las Vegas,gibibyte hour,0.00121,CPU,0.00121 USD per 1 gibibyte hour,skus/4280-873C-E4DA,0.00115
us-west2,Spot Preemptible N2D AMD Instance Ram running in Los Angeles,gibibyte hour,0.001245,CPU,0.001245 USD per 1 gibibyte hour,skus/624A-0F8D-7034,0.001307
us-west3,Spot Preemptible N2D AMD Instance Ram running in Salt Lake City,gibibyte hour,0.001028,CPU,0.001028 USD per 1 gibibyte hour,skus/410D-7FE3-C183,0.001028
us-central1,Spot Preemptible A3 Instance Core running in Americas,hour,0.01402,CPU,0.01402 USD per 1 hour,skus/EEE5-1DA5-D9CF,0.0102
asia-southeast1,Spot Preemptible A3 Instance Core running in Singapore,hour,0.0173,CPU,0.0173 USD per 1 hour,skus/E359-EB9E-506F,0.01258
us-central1,Spot Preemptible A3 Instance Ram running in Americas,gibibyte hour,0.001221,CPU,0.001221 USD per 1 gibibyte hour,skus/F619-87C3-D3BA,0.000888
asia-southeast1,Spot Preemptible A3 Instance Ram running in Singapore,gibibyte hour,0.001507,CPU,0.001507 USD per 1 gibibyte hour,skus/E6C3-FDE5-8E4E,0.001096
sharedservice,Regional Standard Class B Operations,count,0.0004,Application,"Cloud Storage: 
0.00 USD (Free) per 1,000 count, for 0 count to 50,000 count, per 1 month per account；
0.0004 USD per 1,000 count, for 50,000 count and above, per 1 month per account",skus/7870-010B-2763,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '50000'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 400000}}]"
us-central1,SSD backed Local Storage attached to Spot Preemptible VMs,gibibyte month,0.0634,CPU,,skus/E725-3CC5-D4BE,0.056
us-west4,SSD backed Local Storage attached to Spot Preemptible VMs in Las Vegas,gibibyte month,0.0524,CPU,0.0524 USD per 1 gibibyte month,skus/9FE8-2651-76C8,0.0445
us-west2,SSD backed Local Storage attached to Spot Preemptible VMs in Los Angeles,gibibyte month,0.0699,CPU,0.0699 USD per 1 gibibyte month,skus/7A48-277E-AD1A,0.0672
us-west3,SSD backed Local Storage attached to Spot Preemptible VMs in Salt Lake City,gibibyte month,0.0576,CPU,0.0576 USD per 1 gibibyte month,skus/3233-97D3-222E,0.0662
us-central1,Spot Preemptible N2D AMD Instance Ram running in Americas,gibibyte hour,0.00074,CPU,0.00095 USD per 1 gibibyte hour(9/12),skus/AFA5-CB36-99F6,0.000766
us-central1,Spot Preemptible N2D AMD Instance Core running in Americas,hour,0.00553,CPU,,skus/0434-AD25-7163,0.00573
asia-southeast1,SSD backed Local Storage attached to Spot Preemptible VMs in Singapore,gibibyte month,0.0805,CPU,,skus/9F7C-3C75-F39B,0.0616
asia-southeast1,Spot Preemptible C2D AMD Instance Ram running in Singapore,gibibyte hour,0.000781,CPU,0.000781 USD per 1 gibibyte hour,skus/A9E0-6165-8802,0.000898
asia-southeast1,Spot Preemptible C2D AMD Instance Core running in Singapore,hour,0.00683,CPU,,skus/03D1-98E2-08AD,0.00668
sharedservice,Network Inter Zone Data Transfer Out,gibibyte,0.01,Network,GCP的Cost項目是列在Compute Engine下,skus/DE9E-AFBC-A15A,0.01
sharedservice,Network Inter Zone Data Transfer In,gibibyte,0.0,Network,GCP的Cost項目是列在Compute Engine下,skus/D0CC-50DF-59D2,0.0
sharedservice,Usage-based Extreme storage capacity allocated,GiB allocated,0.4,Storage,"NetApp Cloud Volumes Service: 
No SKUs match the filter，
參考https://cloud.google.com/architecture/partners/netapp-cloud-volumes/costs，手動指定Region",skus/96D9-6262-BB46,0.3
sharedservice,Network Intelligence Center Network Analyzer Resource Hours,count,0.0011,Application,GCP的Cost項目是列在Networking下,skus/9BF8-CD36-F9B8,0.0011
sharedservice,Network Intelligence Center Topology and Google Cloud Performance Resource Hours,count,0.0011,Application,GCP的Cost項目是列在Networking下,skus/D9AD-28F8-05D8,0.0011
sharedservice,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,count,0.0008,Application,GCP的Cost項目是列在Networking下,skus/BDBA-22FA-3925,0.0008
us-central1,Analysis (us-central1),tebibyte,6.25,Application,"Big Query:
0.00 USD (Free) per 1 tebibyte, for 0 to 1 tebibyte, per 1 month per account;
6.25 USD per 1 tebibyte, for 1 tebibyte and above, per 1 month per account",skus/3362-E469-6BEF,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '1'}, 'listPrice': {'currencyCode': 'USD', 'units': '6', 'nanos': 250000000}}]"
sharedservice,Log Storage cost,gibibyte,0.5,Application,"Cloud Loggin: 
0.00 USD (Free) per 1 gibibyte, for 0 to 50 gibibyte, per 1 month per project;0.50 USD per 1 gibibyte, for 50 gibibyte and above, per 1 month per project。
根據GCP Console，選擇10月帳單/SKU/以單一區域和多區域分組，找出的Region為us* & us-central1。",skus/143F-A1B0-E0BE,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '50'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 500000000}}]"
us-central1,N2D AMD Instance Ram running in Americas,gibibyte hour,0.003686,CPU,,skus/5535-6D2D-4B50,0.003686
asia-southeast1,N2D AMD Instance Ram running in Singapore,gibibyte hour,0.004547,CPU,,skus/92EB-71EA-DA74,0.004547
us-west4,N2D AMD Instance Ram running in Las Vegas,gibibyte hour,0.004151,CPU,,skus/ABD2-309F-B86A,0.004151
us-west2,N2D AMD Instance Ram running in Los Angeles,gibibyte hour,0.004427,CPU,,skus/1FEE-CE8E-2D35,0.004427
us-west3,N2D AMD Instance Ram running in Salt Lake City,gibibyte hour,0.004427,CPU,,skus/98E9-BA44-DDD2,0.004427
asia-southeast1,N2D AMD Instance Core running in Singapore,hour,0.033929,CPU,,skus/8B4E-B458-AD51,0.033929
us-central1,N2D AMD Instance Core running in Americas,hour,0.027502,CPU,,skus/A03E-E620-7389,0.027502
us-west4,N2D AMD Instance Core running in Las Vegas,hour,0.030976,CPU,,skus/0E8D-9FEF-852D,0.030976
us-west2,N2D AMD Instance Core running in Los Angeles,hour,0.033034,CPU,,skus/2540-FD54-92D3,0.033034
us-west3,N2D AMD Instance Core running in Salt Lake City,hour,0.033034,CPU,,skus/011F-F649-4A0D,0.033034
asia-southeast1,Filestore Capacity Zonal and High Scale Singapore,gibibyte month,0.28,Storage,,skus/31D6-2C1A-E2F3,0.28
